valor,hora,localizacao,tipo_conta,chave_pix,chave_historico_fraude,fraude
1806.75,4,SP,poupanca,65359395034,True,1
2776.01,16,BA,poupanca,28799064762,True,1
2197.91,9,SP,corrente,84386939369,False,1
519.66,13,BA,salario,14307827127,True,1
1618.12,15,RS,corrente,19130780869,True,1
1089.79,13,RS,poupanca,45792592153,True,1
395.21,17,PR,salario,56666895189,False,0
2460.31,2,SP,salario,17692725060,True,1
2007.39,13,RJ,salario,16882389903,False,1
1892.18,15,MG,poupanca,52593521235,False,0
1184.22,9,SP,salario,10285221152,True,1
1088.3,13,BA,corrente,58629150349,True,1
672.9,7,RJ,poupanca,56580525157,False,0
2265.91,12,BA,corrente,90742287565,True,1
1997.98,20,MG,salario,12820380064,False,0
873.58,19,SP,poupanca,17692725060,True,1
1752.72,23,PR,salario,68519683977,True,1
1048.74,16,RS,salario,29287476034,True,1
2358.36,23,BA,corrente,90742287565,True,1
1840.47,5,PR,salario,72672213626,False,1
2732.52,12,BA,corrente,03421792842,False,1
2924.83,9,MG,corrente,61195410913,False,1
2659.31,21,RJ,salario,37159394005,True,1
1554.07,15,RJ,corrente,09235067444,True,1
466.48,6,PR,poupanca,56666895189,False,1
943.17,9,RS,corrente,68866314169,False,0
2689.51,7,PR,corrente,61556028729,True,1
864.41,11,RJ,salario,28799064762,True,1
299.65,18,RS,poupanca,47742701150,False,0
1286.27,22,BA,corrente,67069670947,False,0
363.94,5,SP,salario,63054567080,False,1
2193.93,9,SP,salario,16996218396,False,1
2427.55,11,RS,poupanca,58629150349,True,1
1427.55,20,MG,salario,45601621040,True,1
1136.28,18,RS,corrente,13461210683,True,1
274.34,1,BA,salario,12524583660,True,1
2152.17,0,MG,salario,97622039231,False,1
786.99,11,RJ,salario,73011702558,True,1
2726.09,19,RJ,corrente,67342987252,True,1
2430.81,18,RJ,corrente,80068228392,False,1
1841.66,5,SP,salario,29355363303,False,1
896.96,14,RS,poupanca,11236985035,False,0
734.79,0,SP,poupanca,35570212798,False,1
2351.79,4,SP,poupanca,31023511180,True,1
1500.84,5,RS,corrente,11236985035,False,1
709.22,20,RJ,salario,37942150531,False,0
932.89,0,RS,corrente,19892177473,True,1
764.56,18,BA,salario,46005520766,True,1
2689.88,20,MG,salario,34372337376,False,1
12.79,16,SP,salario,11236985035,False,0
410.87,9,RS,salario,12971737855,True,1
2958.74,5,RS,corrente,63520066428,True,1
1844.26,8,RS,poupanca,12524583660,True,1
2075.73,3,MG,poupanca,67342987252,True,1
1254.68,2,PR,corrente,98529663978,False,1
725.74,8,PR,salario,56666895189,False,0
1242.31,14,MG,corrente,86333340824,True,1
1134.85,13,BA,corrente,88951849805,False,0
309.71,12,MG,corrente,12820380064,False,0
629.94,18,PR,poupanca,58629150349,True,1
1292.26,3,RJ,corrente,68660923607,True,1
1532.91,19,RS,corrente,73276745078,False,0
2447.22,7,RJ,salario,41632260871,False,1
1490.22,8,PR,salario,45995363582,True,1
2125.04,9,RS,poupanca,03192263922,True,1
2134.05,17,PR,salario,09409571006,True,1
1669.0,18,BA,poupanca,20584103208,False,0
321.6,17,PR,salario,57083290112,True,1
395.92,22,MG,salario,84073941011,False,0
1650.57,1,RS,poupanca,65836105655,True,1
1823.25,6,RJ,corrente,77158262024,False,1
2415.26,15,RJ,corrente,40981295265,False,1
843.67,14,RJ,poupanca,78500669606,True,1
933.22,6,RS,poupanca,62216586388,True,1
120.57,13,BA,poupanca,95399207452,True,1
2639.85,12,RJ,salario,10285221152,True,1
2200.6,13,BA,poupanca,50833850004,True,1
1214.11,16,PR,salario,21626385922,False,0
416.28,18,PR,corrente,09141030384,False,0
208.84,10,BA,poupanca,30242900384,False,0
1901.17,12,RS,poupanca,78500669606,True,1
664.21,2,PR,poupanca,92076109629,True,1
817.97,16,RS,poupanca,12971737855,True,1
1175.15,23,SP,salario,66886455562,False,0
661.88,1,SP,salario,39703351764,False,1
2130.39,1,MG,poupanca,80068228392,False,1
2430.0,20,MG,corrente,45995363582,True,1
493.99,18,BA,corrente,19169000772,True,1
2019.23,17,PR,corrente,67946617739,True,1
1670.24,9,PR,salario,20689984320,False,0
1062.25,20,SP,salario,83448860355,False,0
1647.47,12,RJ,poupanca,77158262024,False,0
1229.23,10,SP,poupanca,37459869587,False,0
2278.29,17,RS,corrente,59553028995,False,1
1383.82,16,BA,poupanca,31023511180,True,1
2765.63,15,SP,salario,92564139949,True,1
2688.91,11,RJ,salario,45601621040,True,1
1479.12,10,PR,poupanca,25085304658,True,1
2384.34,15,BA,corrente,58629150349,True,1
926.69,15,BA,poupanca,52003759238,False,0
145.37,3,PR,salario,58629150349,True,1
553.53,15,PR,poupanca,26155691079,False,0
1997.16,6,MG,salario,00011120086,False,1
2629.84,16,MG,corrente,84995116803,True,1
1350.62,19,BA,corrente,38645874361,False,0
1725.09,14,RJ,corrente,83181669880,True,1
520.69,20,RJ,corrente,68519683977,True,1
1107.3,15,BA,corrente,56666895189,False,0
383.92,5,PR,corrente,08522663396,False,1
1103.26,22,BA,corrente,75722006644,False,0
1578.16,21,MG,corrente,48526971262,False,0
1410.14,16,RS,corrente,03192263922,True,1
2499.28,17,RS,poupanca,60859513222,False,1
2313.25,10,MG,salario,09409571006,True,1
1691.3,11,RJ,poupanca,97622039231,False,0
142.15,16,SP,salario,67991554361,False,0
122.85,7,RJ,poupanca,73276745078,False,0
695.67,2,RJ,corrente,95399207452,True,1
329.33,20,MG,salario,12820380064,False,0
1936.13,12,BA,salario,66886455562,False,0
2618.04,4,SP,corrente,09409571006,True,1
